100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 9075/9075 [4:08:22<00:00,  1.64s/it]
{'loss': 2.0317, 'grad_norm': 7.424759387969971, 'learning_rate': 1.1025358324145536e-05, 'epoch': 0.83}
{'loss': 1.2311, 'grad_norm': 9.615338325500488, 'learning_rate': 1.977228207639569e-05, 'epoch': 1.65}
{'loss': 0.9992, 'grad_norm': 3.445242166519165, 'learning_rate': 1.8547992164544567e-05, 'epoch': 2.48}
{'loss': 0.9024, 'grad_norm': 7.893303871154785, 'learning_rate': 1.732370225269344e-05, 'epoch': 3.31}
{'loss': 0.8581, 'grad_norm': 6.753472328186035, 'learning_rate': 1.6099412340842314e-05, 'epoch': 4.13}
{'loss': 0.8433, 'grad_norm': 2.8889827728271484, 'learning_rate': 1.4875122428991186e-05, 'epoch': 4.96}
{'loss': 0.8221, 'grad_norm': 3.4920084476470947, 'learning_rate': 1.365083251714006e-05, 'epoch': 5.79}
{'loss': 0.8064, 'grad_norm': 3.0078325271606445, 'learning_rate': 1.2426542605288933e-05, 'epoch': 6.61}
{'loss': 0.7796, 'grad_norm': 4.288978576660156, 'learning_rate': 1.1202252693437806e-05, 'epoch': 7.44}
{'loss': 0.774, 'grad_norm': 6.923063278198242, 'learning_rate': 9.977962781586682e-06, 'epoch': 8.26}
{'loss': 0.7332, 'grad_norm': 5.939380168914795, 'learning_rate': 8.753672869735555e-06, 'epoch': 9.09}
{'loss': 0.7167, 'grad_norm': 5.343238353729248, 'learning_rate': 7.529382957884428e-06, 'epoch': 9.92}
{'loss': 0.6752, 'grad_norm': 9.282609939575195, 'learning_rate': 6.3050930460333015e-06, 'epoch': 10.74}
{'loss': 0.6571, 'grad_norm': 7.039617538452148, 'learning_rate': 5.080803134182175e-06, 'epoch': 11.57}
{'loss': 0.6308, 'grad_norm': 9.380748748779297, 'learning_rate': 3.856513222331048e-06, 'epoch': 12.4}
{'loss': 0.6122, 'grad_norm': 9.465758323669434, 'learning_rate': 2.6322233104799217e-06, 'epoch': 13.22}
{'loss': 0.5969, 'grad_norm': 8.390941619873047, 'learning_rate': 1.4079333986287955e-06, 'epoch': 14.05}
{'loss': 0.5859, 'grad_norm': 10.159497261047363, 'learning_rate': 1.8364348677766896e-07, 'epoch': 14.88}
{'train_runtime': 14904.6373, 'train_samples_per_second': 19.484, 'train_steps_per_second': 0.609, 'train_loss': 0.8453181112830632, 'epoch': 15.0}
Training complete. Model saved to: ../models/sbert/20ng/checkpoint
